"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
340,215.05,44.88,26.76,5.0931e-05,3.24655e-05,0,0,4.83552e-05,3.19823e-05,5.32989e-05,3.45292e-05,0,0,0.000471758,5.91322e-05,3.1099e-07
350,220.79,45.25,27.2,5.23419e-05,3.26179e-05,0,0,5.20057e-05,3.32805e-05,5.52113e-05,3.53911e-05,0,0,0.000476316,5.97679e-05,3.1128e-07
360,227.46,45.61,27.59,5.39835e-05,3.44866e-05,0,0,5.23163e-05,3.4433e-05,5.73354e-05,3.57886e-05,0,0,0.000499202,6.12873e-05,3.3267e-07
370,233.54,43.18,26.27,5.53672e-05,3.49729e-05,0,0,5.47148e-05,3.5375e-05,5.8579e-05,3.69637e-05,0,0,0.000507777,6.32717e-05,3.1592e-07
380,239.66,45.93,27.57,5.7024e-05,3.54991e-05,0,0,5.4599e-05,3.6926e-05,6.04826e-05,3.8458e-05,0,0,0.000518047,6.40752e-05,4.0866e-07
390,245.61,47.55,28.8,5.8118e-05,3.6123e-05,0,0,5.55541e-05,3.64916e-05,6.1352e-05,3.91647e-05,0,0,0.000540248,6.5424e-05,3.122e-07
400,252.03,48.14,28.82,5.98099e-05,3.72948e-05,0,0,5.74356e-05,3.79595e-05,6.32421e-05,3.99899e-05,0,0,0.00055641,6.86577e-05,3.2079e-07
410,258.5,47.15,28.7,6.202e-05,3.84227e-05,0,0,6.04704e-05,3.95911e-05,6.44861e-05,4.19596e-05,0,0,0.000565966,6.99549e-05,3.1637e-07
420,266.16,48.6,30.1,6.29623e-05,4.02391e-05,0,0,6.23801e-05,4.23898e-05,6.66755e-05,4.25825e-05,0,0,0.00059108,7.13724e-05,3.338e-07
430,271.37,47.78,29.19,6.47567e-05,4.05834e-05,0,0,6.46769e-05,4.16168e-05,6.78819e-05,4.27491e-05,0,0,0.000611193,7.26813e-05,3.2925e-07
440,278.44,49.19,29.92,6.59557e-05,4.16612e-05,0,0,6.37903e-05,4.15619e-05,6.94412e-05,4.48802e-05,0,0,0.000622721,7.48505e-05,3.245e-07
450,284.4,52.08,31.73,6.79742e-05,4.24679e-05,0,0,6.59119e-05,4.31496e-05,7.08105e-05,4.48374e-05,0,0,0.000636507,7.63023e-05,3.2137e-07
460,291.07,51.23,31.1,7.17158e-05,4.37093e-05,0,0,6.55375e-05,4.37134e-05,7.391e-05,4.71673e-05,0,0,0.000646911,7.85507e-05,3.4662e-07
470,298.65,51.97,31.6,6.98128e-05,4.44612e-05,0,0,6.81909e-05,4.40423e-05,7.44059e-05,4.73515e-05,0,0,0.000662863,8.00501e-05,3.1653e-07
480,303.36,51.25,30.94,7.16099e-05,4.50279e-05,0,0,7.05787e-05,4.53853e-05,7.51828e-05,4.79998e-05,0,0,0.000674971,8.21287e-05,3.158e-07
490,310.15,52.2,32.35,7.41186e-05,4.60986e-05,0,0,7.21527e-05,4.69198e-05,7.74018e-05,4.95745e-05,0,0,0.000690668,8.32308e-05,3.374e-07
500,315.56,53.6,32.01,7.55752e-05,4.66027e-05,0,0,7.29699e-05,4.83213e-05,8.07009e-05,5.08274e-05,0,0,0.000709542,8.52793e-05,3.5401e-07
510,321.95,53.83,32.96,7.58238e-05,4.79974e-05,0,0,7.49604e-05,4.84923e-05,8.07007e-05,5.08341e-05,0,0,0.000713564,8.55421e-05,3.0509e-07
