"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
340,217.17,42.6,26.1,5.48079e-05,3.4106e-05,0,0,5.2798e-05,3.49369e-05,5.70228e-05,3.75525e-05,0,0,0.000516841,6.29305e-05,0.00036324
350,219.62,42.71,26.04,5.90926e-05,3.67747e-05,0,0,5.80541e-05,3.66592e-05,5.99089e-05,3.82431e-05,0,0,0.000527411,6.61051e-05,0.00041317
360,227.52,43.56,26.35,6.28258e-05,3.87019e-05,0,0,6.29033e-05,3.91723e-05,6.48461e-05,4.23292e-05,0,0,0.000542247,6.87768e-05,0.00043748
370,231.94,47,27.94,6.77294e-05,4.17348e-05,0,0,6.47272e-05,4.40721e-05,7.02065e-05,4.74992e-05,0,0,0.000613625,7.60911e-05,0.0005142
380,239.45,46.32,28.51,6.21707e-05,3.90309e-05,0,0,6.16606e-05,3.89429e-05,6.49751e-05,4.16827e-05,0,0,0.000573899,6.92865e-05,0.00058507
390,246.4,46.62,28.5,6.69388e-05,4.28206e-05,0,0,6.46821e-05,4.05412e-05,6.97846e-05,4.57532e-05,0,0,0.000637331,7.59304e-05,0.00046192
400,253.93,47.49,28.94,6.73264e-05,4.11245e-05,0,0,6.40261e-05,4.30958e-05,6.8233e-05,4.39756e-05,0,0,0.000611078,7.33171e-05,0.00039903
410,259.87,47.81,29.08,6.95408e-05,4.35112e-05,0,0,6.54496e-05,4.33672e-05,7.13306e-05,4.5685e-05,0,0,0.000646153,7.61776e-05,0.00043218
420,264.98,49.76,30.08,7.0424e-05,4.49795e-05,0,0,6.88907e-05,4.47963e-05,7.47381e-05,4.69974e-05,0,0,0.000656838,7.994e-05,0.00045342
430,271.7,51.77,30.75,6.84385e-05,4.38393e-05,0,0,7.05943e-05,4.42613e-05,7.28841e-05,4.69674e-05,0,0,0.000658619,7.96497e-05,0.00049621
440,277.87,49.88,30.47,6.82187e-05,4.37593e-05,0,0,6.7063e-05,4.42437e-05,7.4104e-05,4.70937e-05,0,0,0.000640661,7.83673e-05,0.00038444
450,284.51,49.96,30.16,7.55287e-05,4.50686e-05,0,0,7.24272e-05,4.77841e-05,7.92311e-05,5.14671e-05,0,0,0.000697183,8.43594e-05,0.00061628
460,289.86,53.01,31.97,7.48161e-05,4.73692e-05,0,0,7.03489e-05,4.87858e-05,8.00978e-05,5.04426e-05,0,0,0.000708248,8.58482e-05,0.00039938
470,297.19,53,32.35,7.45134e-05,4.70328e-05,0,0,7.7143e-05,4.82658e-05,7.90372e-05,4.95502e-05,0,0,0.000704231,8.64128e-05,0.00039204
480,303.63,53.7,32.41,8.79521e-05,5.36093e-05,0,0,8.53383e-05,5.76705e-05,8.94212e-05,5.83751e-05,0,0,0.000814494,9.73408e-05,0.00056467
490,308.46,53.36,32.35,8.04028e-05,4.93571e-05,0,0,8.24308e-05,5.10262e-05,8.84033e-05,5.47052e-05,0,0,0.000756008,9.10841e-05,0.00041476
500,315.61,53.82,32.12,8.40484e-05,5.21044e-05,0,0,8.47246e-05,5.43353e-05,8.58356e-05,5.4502e-05,0,0,0.000780085,9.619e-05,0.00044754
510,320.58,54.89,33.27,8.09527e-05,5.24703e-05,0,0,8.82024e-05,5.58827e-05,8.82381e-05,5.86975e-05,0,0,0.000751917,9.34091e-05,0.00050731
520,329.15,55.09,33.14,8.58656e-05,5.27463e-05,0,0,7.81462e-05,5.3553e-05,8.83728e-05,5.44399e-05,0,0,0.000785081,9.66566e-05,0.00038925
530,335.39,55.71,34.02,8.21518e-05,5.19883e-05,0,0,8.18121e-05,5.43333e-05,9.04553e-05,5.67329e-05,0,0,0.000763692,9.52985e-05,0.00037712
540,340.9,55.64,34.32,8.2056e-05,5.11025e-05,0,0,7.87221e-05,5.24953e-05,8.63265e-05,5.55899e-05,0,0,0.000757607,9.33876e-05,0.00033114
550,346.62,54.68,33.26,8.58748e-05,5.39519e-05,0,0,8.58182e-05,5.38727e-05,9.12714e-05,5.70264e-05,0,0,0.000804082,9.64938e-05,0.00037696
560,355.46,56.79,35.05,8.43533e-05,5.38922e-05,0,0,8.4794e-05,5.4519e-05,9.18508e-05,5.92336e-05,0,0,0.00079714,9.72151e-05,0.00034343
570.001,360.19,57.75,35.02,8.68568e-05,5.4235e-05,0,0,8.75362e-05,5.65452e-05,9.26675e-05,5.86584e-05,0,0,0.000795921,9.73021e-05,0.00050992
579.999,367.21,58.02,35.89,8.9608e-05,5.55236e-05,0,0,8.56175e-05,5.66167e-05,9.27882e-05,5.8297e-05,0,0,0.000801249,9.88075e-05,0.00035588
590,373.25,61.99,37.56,9.44221e-05,5.81465e-05,0,0,9.328e-05,5.94598e-05,0.00010036,6.35188e-05,0,0,0.000861914,0.000105886,0.00037658
600,378.09,58.41,35.59,9.25858e-05,5.65961e-05,0,0,8.87607e-05,5.75891e-05,9.78713e-05,6.2313e-05,0,0,0.000830499,0.000102537,0.00034783
610,383.25,59.87,36.81,9.35144e-05,5.85571e-05,0,0,8.98672e-05,5.78573e-05,9.76427e-05,6.12975e-05,0,0,0.000845959,0.000103504,0.00035126
