"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
3900,2926.08,18.55,16.62,0.000594035,0.000427772,0,0,0.000605626,0.000451026,0.000619314,0.000459905,0,0,0.00616052,0.000525951,0.00054169
4000,2998.72,18.25,16.34,0.000603662,0.000433398,0,0,0.000621856,0.00045343,0.000631029,0.000474784,0,0,0.00629321,0.000548069,0.00055659
4100,3070.27,18.45,16.59,0.000618712,0.000446448,0,0,0.000632029,0.00047399,0.000658616,0.000486275,0,0,0.00645361,0.00056386,0.00056835
4200,3148.85,18.7,16.66,0.000643884,0.000462813,0,0,0.00065612,0.00048572,0.000664455,0.000498143,0,0,0.00658152,0.00057096,0.00054045
4300,3221.67,18.62,16.63,0.000651353,0.000471596,0,0,0.000668513,0.000498122,0.000682351,0.000508189,0,0,0.00672185,0.000588633,0.00066181
4400,3299.49,18.55,16.61,0.000663399,0.000478169,0,0,0.000681146,0.000511147,0.000696639,0.000519555,0,0,0.00681173,0.000598661,0.00058171
4500,3372.83,18.63,16.7,0.000674805,0.000487079,0,0,0.000694111,0.000515423,0.000707322,0.000528513,0,0,0.00695278,0.000605744,0.00055836
4600,3443.59,18.48,16.48,0.000696075,0.000501532,0,0,0.000724375,0.000526864,0.000730518,0.000542094,0,0,0.00717244,0.000629481,0.00057171
4700,3525.91,18.78,16.93,0.000716698,0.000515872,0,0,0.00073642,0.000543293,0.000749629,0.000560513,0,0,0.00732173,0.000644382,0.00056509
4800,3598.9,18.81,16.86,0.000739748,0.00052499,0,0,0.000755847,0.000556518,0.00077412,0.000570969,0,0,0.00746903,0.000675064,0.00061653
4900,3675.6,19.15,17.11,0.000741932,0.000526375,0,0,0.0007562,0.000567074,0.000772022,0.00058006,0,0,0.00758466,0.000675911,0.00068193
5000,3753.84,18.74,16.79,0.000797216,0.00057146,0,0,0.000822633,0.000613661,0.000829847,0.000618144,0,0,0.00826904,0.000801603,0.00075527
5100,3824.82,18.78,16.94,0.000802053,0.00057286,0,0,0.000824114,0.000611314,0.000839873,0.000623679,0,0,0.0081678,0.000724483,0.00064771
5200,3900.45,18.88,16.92,0.00082896,0.00059712,0,0,0.000853877,0.0006347,0.000868119,0.00064354,0,0,0.00839616,0.000756783,0.00066823
5300,3974.09,18.84,16.97,0.000822681,0.000596667,0,0,0.000849039,0.000619752,0.000858042,0.000637721,0,0,0.00833652,0.000751597,0.00065082
5400,4053.52,19.03,17.29,0.000827913,0.000603293,0,0,0.000852281,0.000639117,0.000881123,0.000652243,0,0,0.00844154,0.000770351,0.00064052
5500,4127.4,19.09,17.11,0.000838922,0.000604386,0,0,0.000861081,0.000640912,0.000877854,0.000649195,0,0,0.00870045,0.000756663,0.00061222
5600,4204.22,19.06,17.03,0.000870599,0.000618579,0,0,0.000883348,0.000657999,0.000895451,0.000665273,0,0,0.00898256,0.0008278,0.00075629
5700,4280.98,19.22,17.3,0.000861984,0.00061809,0,0,0.000885818,0.000655783,0.000901225,0.000667262,0,0,0.00894772,0.000779872,0.00060078
5800,4354.35,19.32,17.48,0.000887985,0.000632854,0,0,0.00091486,0.000677266,0.000930261,0.000689118,0,0,0.0091837,0.000808779,0.00065579
5900,4425.81,19.19,17.32,0.00090796,0.000643307,0,0,0.000924374,0.000674981,0.000938059,0.000699145,0,0,0.00933851,0.000845791,0.00064988
6000,4498.26,19.45,17.34,0.000955791,0.000675984,0,0,0.000969675,0.000726361,0.00100104,0.000744572,0,0,0.00982904,0.000932234,0.00084346
6100,4574.3,19.42,17.51,0.000933484,0.000669994,0,0,0.00095982,0.000716636,0.000973043,0.000719597,0,0,0.00954424,0.000839933,0.00062077
6200,4647.75,19.51,17.54,0.000946666,0.00067291,0,0,0.000964589,0.000715303,0.000987652,0.000733095,0,0,0.00977879,0.000859427,0.00061078
6300,4731.16,19.52,17.63,0.00103954,0.000742385,0,0,0.00107473,0.000794706,0.00110568,0.00082809,0,0,0.0107793,0.0010218,0.00081945
6400,4800.41,19.58,17.61,0.0010253,0.000722264,0,0,0.0010441,0.000775409,0.00106621,0.000791563,0,0,0.0104695,0.000983428,0.00083024
6500,4875.04,19.43,17.57,0.00115287,0.000814572,0,0,0.00119409,0.000869332,0.0012133,0.000891233,0,0,0.0118915,0.00118254,0.00127537
6600,4951.78,19.58,17.57,0.00108245,0.000761644,0,0,0.00107825,0.000807869,0.00111184,0.000825248,0,0,0.0110176,0.00103465,0.00080347
6700,5020.6,19.76,17.76,0.00102341,0.000733272,0,0,0.0010645,0.000790581,0.00108788,0.000800507,0,0,0.0107295,0.000944026,0.00064294
6800,5101.91,19.73,17.68,0.00104803,0.000740057,0,0,0.00106599,0.000791518,0.00110101,0.000811051,0,0,0.0108686,0.000959079,0.00061974
6900,5179.33,19.5,17.77,0.00104574,0.000746939,0,0,0.00107454,0.000794309,0.00109345,0.000806208,0,0,0.0107517,0.000954955,0.0005685
7000,5247.51,19.78,17.89,0.00107474,0.000754319,0,0,0.00109034,0.00080988,0.00112595,0.000825063,0,0,0.0110756,0.000960432,0.00062039
7100,5322.2,19.85,18.09,0.0010726,0.000769685,0,0,0.00111105,0.000825025,0.00113408,0.00083621,0,0,0.0112063,0.000978616,0.00072278
7200,5402.63,19.56,17.69,0.00110767,0.00079704,0,0,0.00114306,0.000840825,0.00115542,0.000862995,0,0,0.0115494,0.00101804,0.00065782
7300,5471.98,19.86,17.94,0.0011738,0.000826207,0,0,0.001212,0.000878365,0.00120708,0.000910844,0,0,0.0122322,0.00115341,0.00071008
7400,5553.99,19.81,17.76,0.00116932,0.000838203,0,0,0.0012042,0.000883683,0.00123644,0.0009055,0,0,0.0122288,0.00113683,0.00072079
7500,5623.5,20.08,18.08,0.00114808,0.000812478,0,0,0.00116408,0.000868381,0.00119302,0.000881142,0,0,0.011828,0.00105316,0.00066736
7600,5703.98,19.79,17.78,0.00122157,0.000862348,0,0,0.0012521,0.000918453,0.00128696,0.000921786,0,0,0.0124425,0.00120459,0.00080234
7700,5771.12,19.68,17.65,0.00126729,0.000888628,0,0,0.0013069,0.000952543,0.00134473,0.000961846,0,0,0.0128698,0.00131971,0.00099545
7800,5843.1,20.06,17.99,0.00122892,0.000871383,0,0,0.00126822,0.000909183,0.00127531,0.000948659,0,0,0.0126972,0.00125694,0.00083306
7900,5923.09,19.99,18.14,0.00126167,0.000895497,0,0,0.00131101,0.000960075,0.0013313,0.000977687,0,0,0.0132634,0.00127355,0.00080852
8000,6005.38,20.06,18.05,0.00132188,0.000915475,0,0,0.00134636,0.000981381,0.00138738,0.00100588,0,0,0.013569,0.00142374,0.00091031
8100,6071.75,20.18,18.28,0.00139319,0.000943509,0,0,0.00142439,0.000992651,0.00141871,0.00101908,0,0,0.0140363,0.0015256,0.00105043
8200,6151.55,20.19,18.25,0.00135339,0.000947186,0,0,0.00138454,0.00101477,0.00140156,0.0010168,0,0,0.0137253,0.00135828,0.00088935
8300,6221.79,20.2,18.1,0.00136639,0.00095158,0,0,0.00138243,0.00102013,0.00140823,0.00104292,0,0,0.0139008,0.00138654,0.00094354
8400,6295.36,20.21,18.23,0.00139895,0.000973253,0,0,0.0014479,0.00105348,0.00149173,0.00104599,0,0,0.0142704,0.00156178,0.00109904
8500,6372.17,20.46,18.35,0.00146175,0.00100967,0,0,0.0014941,0.00106258,0.0015247,0.0010737,0,0,0.0147036,0.00182051,0.00114246
8600,6451.07,19.99,18.16,0.00135218,0.000960062,0,0,0.00140814,0.00102122,0.00141693,0.00104553,0,0,0.0137638,0.00138545,0.00086644
