"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
4000,3004.53,18.37,16.6,0.000648583,0.000465714,0.000832644,0.000608447,0.000666243,0.000501356,0.000672475,0.000517141,0.00170696,0.00123084
4100,3076.24,18.34,16.35,0.000686025,0.000497643,0.000891153,0.000635015,0.000692228,0.000522151,0.000701124,0.000547394,0.00177455,0.00128424
4200,3144.42,18.13,16.1,0.000709387,0.000509898,0.000916921,0.000650358,0.000739781,0.000553422,0.000729415,0.000552557,0.00181201,0.00133406
4300,3228.83,18.53,16.67,0.00071237,0.000495564,0.000908479,0.000654259,0.00071687,0.000549072,0.000732662,0.000551603,0.00182646,0.00133367
4400,3300.09,18.33,16.44,0.000834127,0.000551208,0.00104785,0.000723477,0.000839264,0.000593331,0.000831796,0.000613547,0.00209375,0.00148708
4500,3374.53,18.58,16.6,0.000710245,0.000510579,0.000910276,0.000662398,0.000728453,0.000554049,0.000738062,0.000557095,0.00186431,0.00135389
4600,3453.4,18.84,17.06,0.000736438,0.000520672,0.000961615,0.000686259,0.000761228,0.000563942,0.000744883,0.000568174,0.00190117,0.00136848
4700,3523.55,18.83,17.01,0.000891386,0.000575185,0.0011117,0.0007636,0.000872805,0.000624908,0.000882722,0.000648814,0.00219961,0.00156026
4800,3600.75,18.92,16.88,0.000740695,0.000532444,0.000952049,0.000689909,0.000765035,0.000568897,0.000763218,0.000576888,0.00190759,0.0013964
4900,3673.99,18.61,16.71,0.000872632,0.000593214,0.00110026,0.000767577,0.000862766,0.000646101,0.000864103,0.000643074,0.00216493,0.00154675
5000,3751.85,18.92,16.89,0.000795721,0.0005541,0.00101113,0.000717198,0.000796498,0.000592262,0.0008145,0.000607169,0.00202866,0.00145532
5100,3822.12,19.19,17.32,0.000803714,0.000580693,0.00104488,0.00075307,0.000826319,0.000624855,0.00084166,0.000641409,0.00211344,0.00153009
5200,3902.09,18.73,16.7,0.00100524,0.00066269,0.00123909,0.000853021,0.000979889,0.000703962,0.00101044,0.000717626,0.00251772,0.00175209
5300,3977.95,18.98,17.03,0.000989209,0.000668207,0.00127702,0.000885994,0.000996373,0.000728481,0.00101468,0.000729948,0.00254824,0.00181119
5400,4042.8,18.95,17,0.000932756,0.000648503,0.00122831,0.000905435,0.00100225,0.00073989,0.00100472,0.000745754,0.0025022,0.00177837
5500,4122.63,18.95,17.1,0.00101637,0.000689715,0.00127168,0.000876631,0.00102034,0.000742287,0.00100657,0.000748148,0.00257663,0.00186928
5600,4196.19,18.86,16.88,0.00101513,0.000690441,0.00127563,0.000910571,0.00105542,0.000752902,0.00104745,0.000768978,0.00261888,0.00185551
5700,4275.22,19.3,17.48,0.000952639,0.000674108,0.00121847,0.000874659,0.000976071,0.00073388,0.000978734,0.000748419,0.00251566,0.00183252
5800,4349.64,18.99,17.07,0.000980258,0.00067756,0.00124799,0.000883118,0.0010026,0.000745101,0.00100828,0.000756871,0.00257886,0.00181996
5900,4422.45,19.03,17.17,0.000976836,0.000694594,0.00125848,0.000912577,0.00101321,0.000771253,0.00104119,0.000781069,0.00256972,0.00184999
6000,4497.82,19.41,17.37,0.00103768,0.000731117,0.00135278,0.000941189,0.00106031,0.000786663,0.00105932,0.000791883,0.00260037,0.00188435
6100,4571.06,19.36,17.43,0.00108811,0.000744218,0.0013668,0.000972951,0.00108124,0.000820045,0.00113514,0.000851309,0.00283032,0.00198683
6200,4645.3,19.41,17.54,0.00100573,0.000705876,0.00127917,0.000926879,0.00103151,0.000770377,0.00104626,0.000780404,0.00262146,0.00189304
6300,4727.25,19.5,17.41,0.00103559,0.000735885,0.00133314,0.000968063,0.00106199,0.000786451,0.00109287,0.000818947,0.00267848,0.00194802
6400,4799.45,19.78,17.74,0.00104277,0.000738854,0.00136297,0.000979098,0.00108375,0.000818414,0.00108811,0.00082424,0.00277799,0.00197493
6500,4871.54,19.67,17.55,0.0011601,0.000772072,0.001447,0.00101171,0.00115633,0.000831502,0.00113087,0.000815712,0.00281413,0.00199058
6600,4950.22,19.8,17.76,0.00134018,0.000817901,0.0016357,0.00109453,0.00131925,0.000883466,0.00131513,0.000892621,0.00329237,0.00222964
6700,5026.91,19.37,17.55,0.00122793,0.000803645,0.00151048,0.00106489,0.00120236,0.000869874,0.00120116,0.000891274,0.00307407,0.00215553
6800,5103.72,19.83,17.88,0.00119733,0.000820616,0.00151593,0.001108,0.00126862,0.000923746,0.00129282,0.000942265,0.00314091,0.00224912
6900,5171.78,19.87,17.94,0.00115161,0.000809907,0.00150745,0.001088,0.00126644,0.000918988,0.0012847,0.000937422,0.00310644,0.00218911
7000,5249.42,19.89,18.04,0.00114075,0.000795064,0.00144627,0.00104262,0.00117192,0.000857915,0.00119453,0.000893322,0.0030421,0.00216561
7100,5325.44,19.64,17.7,0.00111639,0.000790139,0.00145557,0.00103139,0.00117202,0.000869961,0.0011574,0.000869034,0.0029138,0.00210775
7200,5402.06,19.96,17.91,0.00120892,0.000813286,0.00150428,0.00107729,0.00122481,0.000894618,0.00122633,0.000900015,0.00304871,0.00217595
7300,5466.38,19.86,17.71,0.00114795,0.000803679,0.00150123,0.00107915,0.00120654,0.000915363,0.00122246,0.000905541,0.00302375,0.00214188
7400,5546.75,19.75,17.93,0.00123609,0.000842809,0.00153692,0.00109438,0.00123654,0.000900423,0.001263,0.000925361,0.00307181,0.00221168
7500,5629.51,19.86,17.87,0.00134647,0.000885676,0.00167147,0.00115298,0.00132848,0.000957204,0.00133463,0.000956995,0.003268,0.0023063
7600,5698.18,20.1,18.14,0.00127032,0.000902726,0.00165824,0.00117932,0.0013004,0.000968755,0.00130331,0.000982868,0.00332545,0.00237901
7700,5777.77,20,18.02,0.00138087,0.000876034,0.00166635,0.00116956,0.00135207,0.000961788,0.00137945,0.000996312,0.00350891,0.0024868
7800,5852.71,20.2,18.27,0.00120785,0.000865245,0.00156943,0.0011334,0.00126536,0.000927263,0.0012587,0.000942113,0.00311643,0.00225155
