"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
3700,16.54,2558.3,7.25,0.000938439,5.1231e-06,0,0,0.000723645,5.26962e-06,0.000948066,6.21453e-06,0,0,0.0018101,0.00075835,0.00103333
3800,17.04,2731.84,7.28,0.000908415,5.87387e-06,0,0,0.000675878,4.64748e-06,0.000935663,5.5865e-06,0,0,0.00176736,0.000790756,0.00076705
3900,16.83,2777.3,7.46,0.000935593,5.15774e-06,0,0,0.00068845,4.62855e-06,0.000952782,5.5484e-06,0,0,0.00180481,0.000781619,0.00078603
4000,17.08,2938.45,7.82,0.000955126,5.07634e-06,0,0,0.000723164,4.45145e-06,0.000976869,5.86223e-06,0,0,0.00192703,0.000829881,0.00088855
4100,16.99,2897.48,7.38,0.000987984,5.10274e-06,0,0,0.000685651,4.74452e-06,0.00101263,5.88089e-06,0,0,0.00191924,0.000868184,0.00086086
4200,16.28,3076.95,7.27,0.00102113,4.84522e-06,0,0,0.000740242,4.66582e-06,0.00104539,5.61784e-06,0,0,0.00198101,0.000884318,0.0008744
4300,16.83,3114.78,7.54,0.00104549,5.177e-06,0,0,0.000805195,5.02048e-06,0.00106698,5.95159e-06,0,0,0.00204689,0.000922535,0.00092302
4400,16.57,3130.24,7.34,0.00108047,5.10241e-06,0,0,0.00085938,5.01441e-06,0.0011067,5.81047e-06,0,0,0.00209567,0.00094651,0.00099404
4500,16.76,2988.96,7.16,0.00118509,5.63837e-06,0,0,0.000916042,5.8106e-06,0.00121495,6.66871e-06,0,0,0.00221586,0.00108107,0.00101113
4600,17.16,3302.49,7.5,0.00126983,6.22476e-06,0,0,0.000916654,5.13786e-06,0.00127941,7.24416e-06,0,0,0.00232127,0.00123596,0.00104361
4700,17.4,3421.21,7.65,0.00125751,6.10807e-06,0,0,0.0009356,5.19098e-06,0.00126324,6.90333e-06,0,0,0.00233135,0.00114485,0.00106215
4800,17.3,3503.17,7.58,0.0011661,5.19087e-06,0,0,0.000815364,4.8864e-06,0.00118899,5.96601e-06,0,0,0.0022467,0.00104033,0.00086381
4900,17.55,3448.12,7.72,0.000936362,4.10768e-06,0,0,0.000683336,3.83521e-06,0.000953334,4.9064e-06,0,0,0.00178911,0.000855508,0.00067298
5000,16.18,3650.83,7.29,0.000804799,3.00616e-06,0,0,0.000577878,2.72595e-06,0.000825951,3.43758e-06,0,0,0.00149944,0.000693161,0.00036406
5100,17.69,3611.59,7.7,0.000835634,3.56584e-06,0,0,0.000632781,3.66577e-06,0.00085547,4.29396e-06,0,0,0.00159948,0.000746746,0.00052748
5200,17.76,3754.68,7.72,0.000862759,3.49134e-06,0,0,0.000669585,3.36631e-06,0.00088493,4.2527e-06,0,0,0.00165445,0.000763675,0.00043399
5300,16.38,3808.08,7.18,0.000798241,2.76058e-06,0,0,0.000598098,2.4679e-06,0.000815387,3.19631e-06,0,0,0.00146566,0.000695318,0.00033739
5400,17.64,3799.37,7.74,0.00081742,3.02817e-06,0,0,0.00062245,2.55337e-06,0.000820001,3.26574e-06,0,0,0.00148927,0.000712705,0.00032357
5500,17.1,4057.31,7.61,0.000869472,3.14432e-06,0,0,0.000667928,2.71007e-06,0.000867918,3.48284e-06,0,0,0.00160971,0.000758315,0.0003491
5600,17.13,3913.12,7.54,0.000851361,3.1646e-06,0,0,0.0006925,2.49095e-06,0.000884302,3.44192e-06,0,0,0.00159004,0.000751439,0.00032792
5700,17.59,4050.21,7.59,0.000932553,3.43006e-06,0,0,0.000688436,3.29941e-06,0.000962304,4.05642e-06,0,0,0.00173514,0.000827499,0.00053655
5800,18.68,4067.17,8.04,0.000959492,3.65781e-06,0,0,0.000712879,3.44969e-06,0.000989815,3.98021e-06,0,0,0.00177856,0.000835644,0.00054912
