"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
330,209.31,42.38,25.84,5.27122e-05,3.2801e-05,6.702e-05,4.3695e-05,5.25681e-05,3.45521e-05,5.41872e-05,3.58082e-05,0.000150766,9.37214e-05
340,214.62,42.97,26.48,5.23286e-05,3.34776e-05,7.03903e-05,4.43489e-05,5.22423e-05,3.53862e-05,5.60462e-05,3.71201e-05,0.000156326,9.2337e-05
350,221.92,43.17,26.35,5.7071e-05,3.73681e-05,7.4147e-05,4.69904e-05,5.6835e-05,3.94537e-05,6.10761e-05,3.96351e-05,0.000170054,0.000101441
360,226.35,44.32,26.85,5.60986e-05,3.50041e-05,7.22978e-05,4.59976e-05,5.5547e-05,3.58177e-05,5.80206e-05,3.82181e-05,0.000160337,9.98759e-05
370,233.57,47.15,28.12,5.83842e-05,3.73146e-05,7.75497e-05,4.87866e-05,5.74394e-05,3.55742e-05,6.05972e-05,3.97965e-05,0.000164813,0.000102552
380,239.15,45.75,27.5,6.31506e-05,3.93286e-05,8.28859e-05,5.15384e-05,6.18073e-05,4.10808e-05,6.39562e-05,4.28799e-05,0.000175741,0.00011064
390,246.76,48.96,29.45,6.13446e-05,3.85577e-05,8.02702e-05,4.97134e-05,6.08127e-05,3.91126e-05,6.2945e-05,4.2914e-05,0.000177394,0.000108754
400,251.65,46.23,27.54,6.33811e-05,3.95567e-05,8.2737e-05,5.23605e-05,6.19124e-05,4.18129e-05,6.65727e-05,4.37174e-05,0.000184013,0.000111053
410,258.35,47.99,29.08,6.35357e-05,3.92115e-05,8.1578e-05,5.29614e-05,6.38768e-05,3.88057e-05,6.64093e-05,4.34924e-05,0.000176366,0.000109746
420,266.27,46.88,28.7,6.62316e-05,4.13755e-05,8.78571e-05,5.49099e-05,6.38112e-05,4.10842e-05,6.74419e-05,4.53678e-05,0.00019375,0.000117105
430,272.15,50.33,30.06,6.59166e-05,4.08262e-05,8.42984e-05,5.3747e-05,6.33782e-05,4.23727e-05,6.86554e-05,4.45478e-05,0.000191654,0.000118642
440,278.47,48.98,29.81,6.97817e-05,4.21752e-05,8.82628e-05,5.53855e-05,7.02471e-05,4.4408e-05,7.10844e-05,4.74707e-05,0.000196037,0.000118117
450,284.53,50.34,30.76,6.9342e-05,4.55722e-05,9.34035e-05,5.939e-05,6.87304e-05,4.64817e-05,7.43937e-05,4.84528e-05,0.000204452,0.000126022
460,291.53,52.08,31.95,7.29275e-05,4.57546e-05,9.3248e-05,5.95762e-05,7.07343e-05,4.74634e-05,7.56396e-05,4.97055e-05,0.000205835,0.00012949
470,296.92,52.51,31.71,7.43955e-05,4.53798e-05,9.31249e-05,6.02395e-05,7.19668e-05,4.72547e-05,7.46335e-05,4.98561e-05,0.000206523,0.000126379
480,302.18,51.58,32.06,8.14589e-05,5.12024e-05,0.000108276,6.79379e-05,7.78562e-05,5.10797e-05,8.59237e-05,5.7924e-05,0.000237822,0.000146397
490,309.18,55.32,33.78,7.89033e-05,5.04011e-05,0.000106168,6.62538e-05,8.71338e-05,5.39214e-05,8.61348e-05,5.66013e-05,0.00023358,0.00014558
500,315.96,54.4,33.07,8.13363e-05,4.96481e-05,0.000106094,6.60019e-05,7.93948e-05,5.22592e-05,8.33964e-05,5.51306e-05,0.000230922,0.00014232
510,323.49,53.45,32.5,8.58185e-05,5.63635e-05,0.000112108,7.04232e-05,8.45717e-05,5.53724e-05,9.02874e-05,5.83534e-05,0.000240163,0.000146057
520,329.13,54.7,33.35,8.43114e-05,5.55237e-05,0.000111976,6.96163e-05,8.39532e-05,5.48605e-05,8.76454e-05,5.92066e-05,0.000241642,0.000148491
530,332.89,54.83,33.02,8.17789e-05,5.15354e-05,0.000105819,6.82114e-05,8.1293e-05,5.26169e-05,8.36141e-05,5.4343e-05,0.000228777,0.000139627
540,342,57.11,34.91,8.44637e-05,5.25588e-05,0.000105965,6.81944e-05,8.38684e-05,5.28401e-05,8.41971e-05,5.60429e-05,0.000232054,0.000146322
550,348.2,56.98,34.45,8.68849e-05,5.48896e-05,0.000109861,6.93972e-05,8.32892e-05,5.52235e-05,8.91193e-05,5.77606e-05,0.000233972,0.000145516
560,353.54,55.25,33.39,8.47975e-05,5.4968e-05,0.000114783,7.06452e-05,8.3352e-05,5.47037e-05,8.70717e-05,5.77254e-05,0.000237921,0.000150516
570.001,359.94,55.42,33.57,8.80063e-05,5.62289e-05,0.000115475,7.27689e-05,8.75847e-05,5.7812e-05,9.00036e-05,6.01021e-05,0.000250974,0.000149523
579.999,366.95,58.58,35.66,8.90465e-05,5.61277e-05,0.000115431,7.36542e-05,8.67646e-05,5.79566e-05,9.18831e-05,6.03378e-05,0.000250557,0.000154688
590,373.31,58.21,35.24,9.39124e-05,6.22147e-05,0.000126688,7.80999e-05,9.58232e-05,6.45227e-05,0.000100161,6.67438e-05,0.000265796,0.000159598
600,378.78,58.84,35.74,9.88346e-05,6.17025e-05,0.0001252,8.07456e-05,9.56485e-05,6.27379e-05,9.96462e-05,6.61666e-05,0.000274498,0.000163662
610,386.86,58.4,35.45,9.22406e-05,5.85411e-05,0.000121282,7.7508e-05,9.16895e-05,6.09651e-05,9.60523e-05,6.40235e-05,0.000262558,0.000163715
620.001,390.48,61.66,37.88,9.69279e-05,5.98029e-05,0.000124903,7.7365e-05,9.14802e-05,6.1763e-05,9.77079e-05,6.39424e-05,0.000273668,0.000164726
629.999,400.65,59.28,36.43,9.67356e-05,6.12305e-05,0.000125565,7.85891e-05,9.50752e-05,6.25588e-05,9.87768e-05,6.64375e-05,0.000268888,0.00016531
640,405.64,61.88,38.02,9.96345e-05,6.22024e-05,0.000126409,8.12812e-05,9.48721e-05,6.20167e-05,0.000100936,6.702e-05,0.000276865,0.00017354
650,411.06,61.46,37.45,0.000100183,6.2591e-05,0.000132851,8.37798e-05,9.92353e-05,6.85864e-05,0.000104411,6.9863e-05,0.000287196,0.000173759
660,417.61,62.05,38.3,0.000101025,6.3661e-05,0.000131412,8.24054e-05,9.9971e-05,6.5459e-05,0.000106469,6.98923e-05,0.000285404,0.000173857
670.001,423.39,61.58,37.43,0.000102987,6.5918e-05,0.000134446,8.58584e-05,9.86977e-05,6.61737e-05,0.0001065,7.04676e-05,0.000295876,0.000177877
679.999,427.36,63.84,38.99,0.000104955,6.58855e-05,0.000135764,8.55332e-05,0.000105576,6.8281e-05,0.000108914,7.1316e-05,0.000297453,0.000180411
690,433.41,64.7,39.03,0.000105433,6.64008e-05,0.000137706,8.83053e-05,0.000109852,6.99721e-05,0.000110979,7.23957e-05,0.000297514,0.00018064
700,440.57,63.71,38.74,0.000112462,6.90084e-05,0.000137853,8.66763e-05,0.000105194,6.83784e-05,0.000111929,7.22638e-05,0.000302862,0.000181329
710,448.46,64.41,39,0.000105348,6.5956e-05,0.000135733,8.66019e-05,0.000101371,6.84545e-05,0.000109611,7.16643e-05,0.000301475,0.000191719
